campaign_id,run_index,scenario_id,scenario_family,label_binary,source_host,target_host,pcap_name,started_at_utc,packet_count,status,notes
v1_campaign_20260328_0208,1,N20,normal_http_short,normal,172.30.1.23,172.30.1.21,v1_campaign_20260328_0208_N20_run01.pcap,2026-03-28T12:37:57Z,3256,ok,ubuntu short http burst to meta2
v1_campaign_20260328_0208,2,N20,normal_http_short,normal,172.30.1.23,172.30.1.21,v1_campaign_20260328_0208_N20_run02.pcap,2026-03-28T12:40:05Z,3184,ok,ubuntu short http burst to meta2
v1_campaign_20260328_0208,3,N20,normal_http_short,normal,172.30.1.23,172.30.1.21,v1_campaign_20260328_0208_N20_run03.pcap,2026-03-28T12:40:49Z,3620,ok,ubuntu short http burst to meta2
v1_campaign_20260328_0208,4,N20,normal_http_short,normal,172.30.1.23,172.30.1.21,v1_campaign_20260328_0208_N20_run04.pcap,2026-03-28T12:42:07Z,3336,ok,ubuntu short http burst to meta2
v1_campaign_20260328_0208,5,N20,normal_http_short,normal,172.30.1.23,172.30.1.21,v1_campaign_20260328_0208_N20_run05.pcap,2026-03-28T12:42:54Z,3539,ok,ubuntu short http burst to meta2
v1_campaign_20260328_0208,6,N20,normal_http_short,normal,172.30.1.23,172.30.1.21,v1_campaign_20260328_0208_N20_run06.pcap,2026-03-28T12:43:46Z,3303,ok,ubuntu short http burst to meta2
v1_campaign_20260328_0208,7,N20,normal_http_short,normal,172.30.1.23,172.30.1.21,v1_campaign_20260328_0208_N20_run07.pcap,2026-03-28T12:44:31Z,3342,ok,ubuntu short http burst to meta2
v1_campaign_20260328_0208,8,N20,normal_http_short,normal,172.30.1.23,172.30.1.21,v1_campaign_20260328_0208_N20_run08.pcap,2026-03-28T12:45:16Z,3339,ok,ubuntu short http burst to meta2
v1_campaign_20260328_0208,9,N20,normal_http_short,normal,172.30.1.23,172.30.1.21,v1_campaign_20260328_0208_N20_run09.pcap,2026-03-28T12:46:00Z,3300,ok,ubuntu short http burst to meta2
v1_campaign_20260328_0208,10,N20,normal_http_short,normal,172.30.1.23,172.30.1.21,v1_campaign_20260328_0208_N20_run10.pcap,2026-03-28T12:46:43Z,3366,ok,ubuntu short http burst to meta2
v1_campaign_20260328_0208,11,N20,normal_http_short,normal,172.30.1.23,172.30.1.21,v1_campaign_20260328_0208_N20_run11.pcap,2026-03-28T12:47:28Z,3333,ok,ubuntu short http burst to meta2
v1_campaign_20260328_0208,12,N20,normal_http_short,normal,172.30.1.23,172.30.1.21,v1_campaign_20260328_0208_N20_run12.pcap,2026-03-28T12:48:09Z,3325,ok,ubuntu short http burst to meta2
v1_campaign_20260328_0208,13,N20,normal_http_short,normal,172.30.1.23,172.30.1.21,v1_campaign_20260328_0208_N20_run13.pcap,2026-03-28T12:48:56Z,3303,ok,ubuntu short http burst to meta2
v1_campaign_20260328_0208,14,N20,normal_http_short,normal,172.30.1.23,172.30.1.21,v1_campaign_20260328_0208_N20_run14.pcap,2026-03-28T12:49:38Z,3173,ok,ubuntu short http burst to meta2
v1_campaign_20260328_0208,15,N20,normal_http_short,normal,172.30.1.23,172.30.1.21,v1_campaign_20260328_0208_N20_run15.pcap,2026-03-28T12:50:14Z,3264,ok,ubuntu short http burst to meta2
v1_campaign_20260328_0208,16,N20,normal_http_short,normal,172.30.1.23,172.30.1.21,v1_campaign_20260328_0208_N20_run16.pcap,2026-03-28T12:50:56Z,3406,ok,ubuntu short http burst to meta2
v1_campaign_20260328_0208,17,N20,normal_http_short,normal,172.30.1.23,172.30.1.21,v1_campaign_20260328_0208_N20_run17.pcap,2026-03-28T12:51:49Z,3178,ok,ubuntu short http burst to meta2
v1_campaign_20260328_0208,18,N20,normal_http_short,normal,172.30.1.23,172.30.1.21,v1_campaign_20260328_0208_N20_run18.pcap,2026-03-28T12:52:21Z,3124,ok,ubuntu short http burst to meta2
v1_campaign_20260328_0208,19,N20,normal_http_short,normal,172.30.1.23,172.30.1.21,v1_campaign_20260328_0208_N20_run19.pcap,2026-03-28T12:52:54Z,3253,ok,ubuntu short http burst to meta2
v1_campaign_20260328_0208,20,N20,normal_http_short,normal,172.30.1.23,172.30.1.21,v1_campaign_20260328_0208_N20_run20.pcap,2026-03-28T12:53:30Z,3213,ok,ubuntu short http burst to meta2
v1_campaign_20260328_0208,1,N21,normal_http_short,normal,172.30.1.23,172.30.1.24,v1_campaign_20260328_0208_N21_run01.pcap,2026-03-28T12:54:06Z,3042,ok,ubuntu short http burst to meta3
v1_campaign_20260328_0208,2,N21,normal_http_short,normal,172.30.1.23,172.30.1.24,v1_campaign_20260328_0208_N21_run02.pcap,2026-03-28T12:54:22Z,3044,ok,ubuntu short http burst to meta3
v1_campaign_20260328_0208,3,N21,normal_http_short,normal,172.30.1.23,172.30.1.24,v1_campaign_20260328_0208_N21_run03.pcap,2026-03-28T12:54:40Z,3042,ok,ubuntu short http burst to meta3
v1_campaign_20260328_0208,4,N21,normal_http_short,normal,172.30.1.23,172.30.1.24,v1_campaign_20260328_0208_N21_run04.pcap,2026-03-28T12:55:01Z,3041,ok,ubuntu short http burst to meta3
v1_campaign_20260328_0208,5,N21,normal_http_short,normal,172.30.1.23,172.30.1.24,v1_campaign_20260328_0208_N21_run05.pcap,2026-03-28T12:55:31Z,3047,ok,ubuntu short http burst to meta3
v1_campaign_20260328_0208,6,N21,normal_http_short,normal,172.30.1.23,172.30.1.24,v1_campaign_20260328_0208_N21_run06.pcap,2026-03-28T12:55:56Z,3046,ok,ubuntu short http burst to meta3
v1_campaign_20260328_0208,7,N21,normal_http_short,normal,172.30.1.23,172.30.1.24,v1_campaign_20260328_0208_N21_run07.pcap,2026-03-28T12:56:23Z,3043,ok,ubuntu short http burst to meta3
v1_campaign_20260328_0208,8,N21,normal_http_short,normal,172.30.1.23,172.30.1.24,v1_campaign_20260328_0208_N21_run08.pcap,2026-03-28T12:56:45Z,3043,ok,ubuntu short http burst to meta3
v1_campaign_20260328_0208,9,N21,normal_http_short,normal,172.30.1.23,172.30.1.24,v1_campaign_20260328_0208_N21_run09.pcap,2026-03-28T12:57:05Z,3042,ok,ubuntu short http burst to meta3
v1_campaign_20260328_0208,10,N21,normal_http_short,normal,172.30.1.23,172.30.1.24,v1_campaign_20260328_0208_N21_run10.pcap,2026-03-28T12:57:27Z,3045,ok,ubuntu short http burst to meta3
v1_campaign_20260328_0208,11,N21,normal_http_short,normal,172.30.1.23,172.30.1.24,v1_campaign_20260328_0208_N21_run11.pcap,2026-03-28T12:57:47Z,3052,ok,ubuntu short http burst to meta3
v1_campaign_20260328_0208,12,N21,normal_http_short,normal,172.30.1.23,172.30.1.24,v1_campaign_20260328_0208_N21_run12.pcap,2026-03-28T12:58:07Z,3047,ok,ubuntu short http burst to meta3
v1_campaign_20260328_0208,13,N21,normal_http_short,normal,172.30.1.23,172.30.1.24,v1_campaign_20260328_0208_N21_run13.pcap,2026-03-28T12:58:32Z,3048,ok,ubuntu short http burst to meta3
v1_campaign_20260328_0208,14,N21,normal_http_short,normal,172.30.1.23,172.30.1.24,v1_campaign_20260328_0208_N21_run14.pcap,2026-03-28T12:58:53Z,3044,ok,ubuntu short http burst to meta3
v1_campaign_20260328_0208,15,N21,normal_http_short,normal,172.30.1.23,172.30.1.24,v1_campaign_20260328_0208_N21_run15.pcap,2026-03-28T12:59:13Z,3043,ok,ubuntu short http burst to meta3
